route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6098,UTA
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-01-01,201701,SAT.,0.7616,UTA
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-01-01,201701,SUN.,0.7485,UTA
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.5496,UTA
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-01-01,201701,SAT.,0.6233,UTA
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-01-01,201701,SUN.,0.6733,UTA
71D,071D,71D - HAMILTON,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6304,UTA
71D,071D,71D - HAMILTON,East Liberty,Bus,2017-01-01,201701,SAT.,0.7277,UTA
71D,071D,71D - HAMILTON,East Liberty,Bus,2017-01-01,201701,SUN.,0.6819,UTA
74,074,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6306,UTA
74,074,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,2017-01-01,201701,SAT.,0.7166,UTA
75,075,75 - ELLSWORTH,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.71,UTA
75,075,75 - ELLSWORTH,East Liberty,Bus,2017-01-01,201701,SAT.,0.7312,UTA
75,075,75 - ELLSWORTH,East Liberty,Bus,2017-01-01,201701,SUN.,0.6492,UTA
77,077,77 - PENN HILLS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6218,UTA
77,077,77 - PENN HILLS,East Liberty,Bus,2017-01-01,201701,SAT.,0.5561,UTA
77,077,77 - PENN HILLS,East Liberty,Bus,2017-01-01,201701,SUN.,0.6342,UTA
78,078,78 - OAKMONT,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.8133,UTA
79,079,79 - EAST HILLS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6747,UTA
79,079,79 - EAST HILLS,East Liberty,Bus,2017-01-01,201701,SAT.,0.6952,UTA
79,079,79 - EAST HILLS,East Liberty,Bus,2017-01-01,201701,SUN.,0.7114,UTA
81,081,81 - OAK HILL,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.695,UTA
81,081,81 - OAK HILL,West Mifflin,Bus,2017-01-01,201701,SAT.,0.6707,UTA
81,081,81 - OAK HILL,West Mifflin,Bus,2017-01-01,201701,SUN.,0.6868,UTA
82,082,82 - LINCOLN,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6547,UTA
82,082,82 - LINCOLN,East Liberty,Bus,2017-01-01,201701,SAT.,0.6913,UTA
82,082,82 - LINCOLN,East Liberty,Bus,2017-01-01,201701,SUN.,0.6353,UTA
83,083,83 - BEDFORD HILL,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6789,UTA
83,083,83 - BEDFORD HILL,West Mifflin,Bus,2017-01-01,201701,SAT.,0.8209,UTA
83,083,83 - BEDFORD HILL,West Mifflin,Bus,2017-01-01,201701,SUN.,0.6864,UTA
86,086,86 - LIBERTY,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6382,UTA
86,086,86 - LIBERTY,East Liberty,Bus,2017-01-01,201701,SAT.,0.6139,UTA
86,086,86 - LIBERTY,East Liberty,Bus,2017-01-01,201701,SUN.,0.6611,UTA
87,087,87 - FRIENDSHIP,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6909,UTA
87,087,87 - FRIENDSHIP,East Liberty,Bus,2017-01-01,201701,SAT.,0.7358,UTA
87,087,87 - FRIENDSHIP,East Liberty,Bus,2017-01-01,201701,SUN.,0.75,UTA
88,088,88 - PENN,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6749,UTA
88,088,88 - PENN,East Liberty,Bus,2017-01-01,201701,SAT.,0.6488,UTA
88,088,88 - PENN,East Liberty,Bus,2017-01-01,201701,SUN.,0.7621,UTA
89,089,89 - GARFIELD COMMONS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.642,UTA
89,089,89 - GARFIELD COMMONS,East Liberty,Bus,2017-01-01,201701,SAT.,0.6852,UTA
89,089,89 - GARFIELD COMMONS,East Liberty,Bus,2017-01-01,201701,SUN.,0.6351,UTA
91,091,91 - BUTLER STREET,Ross,Bus,2017-01-01,201701,WEEKDAY,0.701,UTA
91,091,91 - BUTLER STREET,Ross,Bus,2017-01-01,201701,SAT.,0.7118,UTA
91,091,91 - BUTLER STREET,Ross,Bus,2017-01-01,201701,SUN.,0.632,UTA
93,093,93 - LAWRENCEVILLE - HAZELWOOD,Ross,Bus,2017-01-01,201701,WEEKDAY,0.7045,UTA
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2017-01-01,201701,WEEKDAY,0.7742,UTA
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2017-01-01,201701,SAT.,0.8087,UTA
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2017-01-01,201701,SUN.,0.7965,UTA
G3,G3,G3 - MOON FLYER,Collier,Bus,2017-01-01,201701,WEEKDAY,0.7174,UTA
G31,G31,G31 - BRIDGEVILLE FLYER,Collier,Bus,2017-01-01,201701,WEEKDAY,0.7257,UTA
O1,O1,O1 - ROSS FLYER,Ross,Bus,2017-01-01,201701,WEEKDAY,0.7959,UTA
O12,O12,O12 - MCKNIGHT FLYER,Ross,Bus,2017-01-01,201701,WEEKDAY,0.7023,UTA
O5,O5,O5 - THOMPSON RUN FLYER VIA 279,Ross,Bus,2017-01-01,201701,WEEKDAY,0.63,UTA
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.7889,UTA
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2017-01-01,201701,SAT.,0.8151,UTA
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2017-01-01,201701,SUN.,0.8549,UTA
P10,P10,P10 - ALLEGHENY VALLEY FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6019,UTA
P12,P12,P12 - HOLIDAY PARK FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6134,UTA
P13,P13,P13 - MOUNT ROYAL FLYER,Ross,Bus,2017-01-01,201701,WEEKDAY,0.5522,UTA
P16,P16,P16 - PENN HILLS FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.665,UTA
P17,P17,P17 - LINCOLN PARK FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.7022,UTA
P2,P2,P2 - EAST BUSWAY SHORT,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.8659,UTA
P3,P3,P3 - EAST BUSWAY-OAKLAND,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.8364,UTA
P67,P67,P67 - MONROEVILLE FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6427,UTA
