STOP_ID;sensor_ID;geometry
E19360;8051@1;LINESTRING (-79.91817599999999 40.43808999337009, -79.91755092 40.43803978337009)
E08450;27822@1;LINESTRING (-79.75139599999999 40.45320099337726, -79.76097606 40.45291306337712)
W25100;27665@1;LINESTRING (-80.094928 40.38128899334328, -80.09065196 40.38328988334419)
P00380;27771@1;LINESTRING (-79.999791 40.43867899337037, -80.00059044 40.43848279337031)
E70814;25091@1;LINESTRING (-79.92520599999999 40.45870799337985, -79.92472955 40.4600420733805)
E70425;6880@1;LINESTRING (-79.921522 40.46006899338048, -79.92185378999999 40.46206069338142)
N02010;14584@1;LINESTRING (-79.75406099999999 40.6014799934471, -79.75316942999999 40.60684257344957)
S00370;27506@1;LINESTRING (-79.98059199999999 40.42775999336519, -79.98216102000001 40.42776046336521)
E41755;27434@1;LINESTRING (-79.93331999999999 40.45607299337856, -79.92877515000001 40.45275981337701)
E41200;3677@2;LINESTRING (-79.923588 40.42992899336625, -79.92597432999999 40.42804634336542)
S16160;27506@1;LINESTRING (-79.98196899999999 40.42886099336575, -79.98216102000001 40.42776046336521)
W02770;27677@1;LINESTRING (-80.07247 40.47183299338604, -80.07531659999999 40.47166608338593)
E01470;27434@1;LINESTRING (-79.9297 40.44972099337559, -79.92877515000001 40.45275981337701)
E41240;5287@1;LINESTRING (-79.92302799999999 40.43380599336808, -79.92746902 40.43058326336659)
N71206;5851@2;LINESTRING (-79.93936100000001 40.49547899339719, -79.93803615999998 40.49101831339507)
E01460;27434@1;LINESTRING (-79.92958999999999 40.44988399337569, -79.92877515000001 40.45275981337701)
W02745;27677@1;LINESTRING (-80.07275099999998 40.47180399338605, -80.07531659999999 40.47166608338593)
N19270;24434@1;LINESTRING (-80.006619 40.45574099337845, -80.00824579999998 40.44812303337483)
W26165;27838@1;LINESTRING (-80.07250799999998 40.42643499336458, -80.0689857 40.43626763336921)
S02550;27578@1;LINESTRING (-79.91076799999999 40.40718599335547, -79.90567972999999 40.40670513335526)
N19200;27680@1;LINESTRING (-80.00631800000001 40.45470299337799, -80.00484320999999 40.44816330337484)
N08120;6700@2;LINESTRING (-80.029134 40.45338699337734, -80.02688846 40.44992183337568)
E52780;27428@1;LINESTRING (-79.92658999999999 40.47147299338585, -79.92993197999999 40.46960733338499)
E01720;27442@1;LINESTRING (-79.953131 40.44548799337361, -79.95407179999999 40.4438431333728)
E41110;5287@1;LINESTRING (-79.92297899999998 40.43485699336856, -79.92746902 40.43058326336659)
E01900;10554@1;LINESTRING (-79.932562 40.44878799337514, -79.93307274999999 40.44547672337359)
E17295;26004@1;LINESTRING (-79.88854599999998 40.44638599337404, -79.88981764 40.44536785337353)
E70792;1378@2;LINESTRING (-79.97232499999998 40.45066699337605, -79.96763936000001 40.45524709337824)
E09540;19155@1;LINESTRING (-79.85308199999999 40.41414899335881, -79.85383508 40.41176812335767)
E41090;8051@1;LINESTRING (-79.923053 40.43608399336912, -79.91755092 40.43803978337009)
