,STOP_ID,geom_from_node,sensor_ID,geom_to_node,geometry
102,S00160,POINT (-8904051.886237053 4115358.780754733),38779@1,POINT (-8904045.870531771 4115332.654637319),"LINESTRING (-79.986459 40.41791899336057, -79.98640495999999 40.41761039336045)"
103,W26175,POINT (-8912918.149720266 4117543.102700042),27645@1,POINT (-8912510.68142214 4117246.67294754),"LINESTRING (-80.066106 40.44372499337273, -80.06244564999999 40.44022234337111)"
104,E13385,POINT (-8903400.221937951 4117506.79718801),27399@1,POINT (-8903886.65026409 4117179.641231586),"LINESTRING (-79.980605 40.44329599337254, -79.98497465999999 40.43943031337075)"
105,E30570,POINT (-8874592.07355454 4116217.592126204),31986@1,POINT (-8874922.277220497 4116083.42448104),"LINESTRING (-79.72181699999999 40.42806399336537, -79.72478327 40.42647899336461)"
106,S09200,POINT (-8904119.902445927 4115196.316043151),38779@1,POINT (-8904045.870531771 4115332.654637319),"LINESTRING (-79.98706999999997 40.41599999335967, -79.98640495999999 40.41761039336045)"
107,E30310,POINT (-8874551.107981928 4116201.593750263),31986@1,POINT (-8874922.277220497 4116083.42448104),"LINESTRING (-79.72144899999999 40.42787499336529, -79.72478327 40.42647899336461)"
108,TP0460,POINT (-8893005.653165637 4117674.189934477),26004@1,POINT (-8893293.819252286 4117682.132929827),"LINESTRING (-79.88722899999999 40.4452739933735, -79.88981764 40.44536785337353)"
109,S16540,POINT (-8905921.274445945 4116536.026781836),5484@2,POINT (-8905877.891013995 4116513.782633985),"LINESTRING (-80.00325199999999 40.43182599336715, -80.00286228 40.43156319336704)"
110,E15620,POINT (-8899899.669230465 4117825.583949844),8054@1,POINT (-8899436.698147424 4117840.002986241),"LINESTRING (-79.94915899999999 40.44706299337437, -79.94500005999998 40.44723338337442)"
111,P00585,POINT (-8905086.044306524 4117136.704911425),27772@1,POINT (-8905196.723710243 4116986.134977161),"LINESTRING (-79.99574899999999 40.43892299337053, -79.99674324999998 40.43714394336966)"
112,S70020,POINT (-8903416.251944626 4116203.709940095),27506@1,POINT (-8903573.437292015 4116191.899051495),"LINESTRING (-79.980749 40.42789999336527, -79.98216102000001 40.42776046336521)"
113,S19380,POINT (-8895364.290536566 4114814.899721563),25094@1,POINT (-8894942.752567999 4114598.958680767),"LINESTRING (-79.908417 40.41149499335754, -79.90463025999999 40.40894459335632)"
114,N53540,POINT (-8893741.697638763 4121260.797017982),14578@1,POINT (-8893468.76562443 4121176.325256212),"LINESTRING (-79.89384100000001 40.48766899339348, -79.89138920999999 40.48667020339305)"
115,S08720,POINT (-8904476.013496976 4114727.775796527),38779@1,POINT (-8904045.870531771 4115332.654637319),"LINESTRING (-79.990269 40.41046599335704, -79.98640495999999 40.41761039336045)"
116,E70450,POINT (-8882937.361820839 4116265.248401776),19116@2,POINT (-8883518.08220846 4116549.227644338),"LINESTRING (-79.79678399999999 40.42862699336563, -79.80200069999999 40.43198195336723)"
117,N38480,POINT (-8906309.000232376 4118520.642272288),24434@1,POINT (-8906477.181719068 4117915.28789817),"LINESTRING (-80.00673499999998 40.45527699337821, -80.00824579999998 40.44812303337483)"
118,S70138,POINT (-8902058.488115419 4116161.724589067),27559@1,POINT (-8901868.889871895 4115776.715712347),"LINESTRING (-79.968552 40.42740399336503, -79.96684881 40.42285580336293)"
119,W70118,POINT (-8915676.758021614 4114296.963004702),137@2,POINT (-8915275.844215108 4114556.275842577),"LINESTRING (-80.090887 40.40537799335465, -80.08728553 40.40844049335613)"
120,E39908,POINT (-8882419.72618865 4116155.20667458),19116@2,POINT (-8883518.08220846 4116549.227644338),"LINESTRING (-79.79213399999999 40.427326993365, -79.80200069999999 40.43198195336723)"
121,E19320,POINT (-8899823.526698763 4117612.666470451),8054@1,POINT (-8899436.698147424 4117840.002986241),"LINESTRING (-79.948475 40.44454699337314, -79.94500005999998 40.44723338337442)"
122,P02600,POINT (-8905343.081010764 4117465.836849311),3923@1,POINT (-8905034.441043371 4117419.156942401),"LINESTRING (-79.99805799999999 40.44281199337234, -79.99528544 40.44226041337205)"
123,E42350,POINT (-8885896.901803071 4112831.044999812),118@1,POINT (-8886420.562046099 4112954.690157282),"LINESTRING (-79.82337 40.38806799334643, -79.82807411999998 40.38952786334718)"
124,N26800,POINT (-8908957.958835296 4122862.480679221),11553@1,POINT (-8908862.188450975 4122964.2703396),"LINESTRING (-80.03053100000001 40.50660999340244, -80.02967068 40.50781390340299)"
125,E01050,POINT (-8901294.502450107 4117187.654305928),5989@1,POINT (-8901561.269591035 4116923.07902855),"LINESTRING (-79.96168900000001 40.4395249933708, -79.96408540999998 40.4363989233693)"
126,E41330,POINT (-8896994.34184025 4116568.444850157),3677@2,POINT (-8897318.763571855 4116216.098099852),"LINESTRING (-79.92305999999999 40.43220899336732, -79.92597432999999 40.42804634336542)"
127,S08700,POINT (-8904477.683289338 4114755.293212892),38779@1,POINT (-8904045.870531771 4115332.654637319),"LINESTRING (-79.99028399999999 40.41079099335723, -79.98640495999999 40.41761039336045)"
128,E01650,POINT (-8896728.399576746 4118323.912190499),8055@1,POINT (-8896283.318649072 4118364.47467408),"LINESTRING (-79.920671 40.45295199337716, -79.91667276999999 40.45343136337732)"
129,E01210,POINT (-8901089.563267553 4117281.511732297),19400@1,POINT (-8900804.588710709 4117339.438522616),"LINESTRING (-79.95984799999998 40.44063399337133, -79.95728803 40.44131845337165)"
130,S70407,POINT (-8904413.897221114 4116273.120537387),27394@1,POINT (-8904290.216814063 4116326.957193062),"LINESTRING (-79.989711 40.42871999336566, -79.98859996 40.42935601336598)"
131,N53630,POINT (-8909865.546643734 4123709.609117266),27613@1,POINT (-8909646.41979208 4123827.438022199),"LINESTRING (-80.038684 40.51662999340714, -80.03671555 40.51802381340783)"
132,E70230,POINT (-8896981.428779319 4118852.402855093),25091@2,POINT (-8897175.257163495 4118929.769457335),"LINESTRING (-79.92294399999999 40.45919799338008, -79.92468519000001 40.46011240338053)"
133,E15760,POINT (-8899857.145184983 4117709.902016127),8054@1,POINT (-8899436.698147424 4117840.002986241),"LINESTRING (-79.94877700000001 40.44569599337368, -79.94500005999998 40.44723338337442)"
134,N05685,POINT (-8930970.720222719 4130132.479510662),27847@1,POINT (-8930099.500491926 4128986.860734725),"LINESTRING (-80.22827499999998 40.59264899344289, -80.22044870000001 40.57908359343656)"
135,E01000,POINT (-8900517.269765386 4117618.674980675),27442@1,POINT (-8900446.559624834 4117553.100639452),"LINESTRING (-79.954707 40.44461799337322, -79.95407179999999 40.4438431333728)"
136,S09090,POINT (-8903061.588046957 4112491.993354506),27568@1,POINT (-8903645.901827741 4112518.134831966),"LINESTRING (-79.97756299999999 40.38406499334458, -79.98281197999999 40.3843736233447)"
